;Level;Stance;Claim;Votes
0;1;None;"   19
Pregnant people should have the right to choose abortion.";['64', '17', '9', '18', '169']
1;1.1;pro;The ability of people to access abortion services, and have control over their own reproduction, is fundamental to achieving gender equality.;['46', '4', '11', '16', '30']
2;1.0;pro;If a woman is not allowed to have an abortion, she is not only forced to continue the pregnancy to birth, but also expected by society to support and look after the resulting child for many years to come.;['3', '3', '5', '5', '11']
3;1.0;pro;In certain religious households where abstinence is an important virtue, women who get pregnant out of wedlock are shunned. This leaves pregnant women with very little financial and emotional support, while forcing them to be the sole provider for the child.;['1', '1', '2', '1', '2']
4;1.0;pro;In a majority of cases, a mother is the primary caregiver of a child and has to invest more time and energy in taking care of the child.;['1', '0', '2', '0', '2']
5;1.0;pro;Women often have to sacrifice their careers for childbearing and child-rearing which is not the case with men.;['1', '0', '2', '2', '1']
6;1.0;pro;Pregnancy and motherhood have a substantial impact on a woman’s career.;['1', '0', '0', '2', '3']
7;1.0;pro;"Once women return to work after giving birth, many women face a ""motherhood wage penalty,” especially at the bottom of the income spectrum. This means that working mothers encounter systematic disadvantages in pay, perceived competence, and benefits relative to childless women.";['1', '0', '2', '0', '2']
8;1.0;pro;"The work-effort theory suggests mothers may earn less because they are less productive at work due to the needs of their children leaving them exhausted and distracted, or because they are saving their energy for their ""second shift"".";['1', '0', '2', '0', '1']
9;1.0;pro;Mothers may trade higher wages for “mother-friendly” jobs that are easier to combine with parenting (p. 204).;['0', '0', '2', '0', '1']
10;1.0;pro;A study at Cornell University shows that being a mother is proven to be a clear disadvantage when applying for jobs.;['1', '0', '2', '0', '0']
11;1.0;pro;When a similar experiment was reproduced in laboratory settings, mothers were offered salaries of around $11,000 less than women without children. Fathers were offered salaries of around $2,000 more. (p. 1316);['1', '0', '2', '1', '0']
12;1.0;pro;Motherhood has a greater impact on a woman’s career prospects than her level of education, according to a study by the Young Women’s Trust. Women with a dependent child are six times more likely to be economically inactive than those without children (p. 4).;['1', '0', '1', '1', '2']
13;1.0;con;This is mainly due to patriarchal oppression, not the demands of motherhood. It is possible to employ and educate mothers while giving them ample maternity leave, equal pay, and quality healthcare.;['1', '1', '2', '0', '1']
14;1.0;con;A woman who gets pregnant, gives birth, and finds someone to adopt the child does not end up with a dependent child. However, having to raise a dependent child is what caused negative career outcomes for the women, not pregnancy by itself.;['0', '0', '1', '0', '0']
15;1.0;con;In most Western countries, there are legal measures that allow women to retain their employment status and forbid discrimination based on having children.;['2', '0', '1', '2', '2']
16;1.0;con;Taking maternity leave inherently stalls one's career, even if there is not explicit discrimination.;['0', '0', '1', '0', '0']
17;1.0;pro;Studies suggest that among men with equivalent resumes, fathers are more likely to receive call-backs and higher wage offers than are childless men.;['1', '0', '1', '1', '2']
18;1.0;con;This is a problem with culture and employment, not childbearing.;['3', '1', '1', '0', '1']
19;1.0;con;It is false to suggest that future educational and career goals must be abandoned when one becomes pregnant. With the choice of adoption and the many support programs which exist today, young women or teens can postpone their educational plans but still achieve them.;['0', '1', '2', '0', '1']
20;1.0;pro;Many fathers leave their children behind, leaving the mothers to care for them on their own.;['0', '0', '2', '0', '0']
21;1.0;con;Father absence is a cultural problem in its own right, but no reason to preemptively abort.;['1', '1', '1', '1', '2']
22;1.0;con;What is true for the majority may not apply in every case - a father may wish to take on the role of a child's primary caregiver.;['1', '0', '4', '0', '2']
23;1.0;pro;The introduction of paternity leave in some countries has seen a rise in the number of men taking time off work to raise their children (p. 16).;['0', '0', '1', '0', '1']
24;1.0;pro;There are increasing numbers of fathers who wish to be stay at home parents.;['1', '0', '2', '0', '1']
25;1.0;con;Fathers are held financially responsible for their children. It is not only mothers who are forced to take care of the unwanted children.;['1', '0', '3', '0', '2']
